"date","commodity","country","district","grade","price_type","price_lkr_per_kg","currency","unit","market_level","frequency","source","source_url"
"2026-04-21","black_pepper","Sri Lanka","Monaragala","Grade 1","average","2058.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-21","black_pepper","Sri Lanka","National","Grade 1","highest","2200.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-21","black_pepper","Sri Lanka","National","Grade 1","average","2026.64","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-21","black_pepper","Sri Lanka","National","Grade 2","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-21","black_pepper","Sri Lanka","National","Grade 2","average","1915.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kandy","Grade 1","highest","2200.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kandy","Grade 1","average","2057.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kandy","Grade 2","highest","1600.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kandy","Grade 2","average","1600.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Matale","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Matale","Grade 1","average","2057.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","highest","1980.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","average","1973.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kegalle","Grade 1","highest","2200.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kegalle","Grade 1","average","2066.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Ratnapura","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Ratnapura","Grade 1","average","2030.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Ratnapura","Grade 2","highest","1980.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Ratnapura","Grade 2","average","1950.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Badulla","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Badulla","Grade 1","average","2080.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kurunegala","Grade 1","highest","2200.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kurunegala","Grade 1","average","2133.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Colombo","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Colombo","Grade 1","average","1925.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Gampaha","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Gampaha","Grade 1","average","2075.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kalutara","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Kalutara","Grade 1","average","1917.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Galle","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Galle","Grade 1","average","1975.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Matara","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Matara","Grade 1","average","1991.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Hambantota","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Hambantota","Grade 1","average","2017.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Monaragala","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","Monaragala","Grade 1","average","2080.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","National","Grade 1","highest","2200.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","National","Grade 1","average","2026.86","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","National","Grade 2","highest","1980.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-04-07","black_pepper","Sri Lanka","National","Grade 2","average","1775.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kandy","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kandy","Grade 1","average","2038.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kandy","Grade 2","highest","1600.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kandy","Grade 2","average","1600.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Matale","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Matale","Grade 1","average","2025.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","highest","1970.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","average","1963.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kegalle","Grade 1","highest","2300.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kegalle","Grade 1","average","2133.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Ratnapura","Grade 1","highest","2070.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Ratnapura","Grade 1","average","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Ratnapura","Grade 2","highest","1980.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Ratnapura","Grade 2","average","1970.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Badulla","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Badulla","Grade 1","average","2080.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kurunegala","Grade 1","highest","2200.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kurunegala","Grade 1","average","2133.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Colombo","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Colombo","Grade 1","average","1863.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Gampaha","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Gampaha","Grade 1","average","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kalutara","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Kalutara","Grade 1","average","1995.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Galle","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Galle","Grade 1","average","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Matara","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Matara","Grade 1","average","2019.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Hambantota","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Hambantota","Grade 1","average","2033.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Monaragala","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","Monaragala","Grade 1","average","2076.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","National","Grade 1","highest","2300.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","National","Grade 1","average","2029.14","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","National","Grade 2","highest","1980.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-31","black_pepper","Sri Lanka","National","Grade 2","average","1785.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kandy","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kandy","Grade 1","average","2004.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kandy","Grade 2","highest","1600.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kandy","Grade 2","average","1600.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Matale","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Matale","Grade 1","average","2041.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","highest","1950.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","average","1943.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kegalle","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kegalle","Grade 1","average","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Ratnapura","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Ratnapura","Grade 1","average","2030.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Ratnapura","Grade 2","highest","1960.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Ratnapura","Grade 2","average","1950.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Badulla","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Badulla","Grade 1","average","2070.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kurunegala","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kurunegala","Grade 1","average","2033.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Colombo","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Colombo","Grade 1","average","1900.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Gampaha","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Gampaha","Grade 1","average","2075.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kalutara","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Kalutara","Grade 1","average","1995.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Galle","Grade 1","highest","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Galle","Grade 1","average","1975.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Matara","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Matara","Grade 1","average","2037.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Hambantota","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Hambantota","Grade 1","average","2033.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
