date,price_lkr_per_kg,country,market_level,grade,frequency,source
2019-11-01,553,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2019-12-01,686,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-01-01,587,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-02-01,532,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-03-01,528,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-04-01,517,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-05-01,515,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-06-01,499,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-07-01,492,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-08-01,542,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-09-01,575,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-10-01,558,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-11-01,549,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2020-12-01,545,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-01-01,521,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-02-01,511,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-03-01,603,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-04-01,680,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-05-01,663,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-06-01,689,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-07-01,753,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-08-01,731,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-09-01,729,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-10-01,832,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-11-01,991,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2021-12-01,1108,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-01-01,1138,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-02-01,1173,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-03-01,1431,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-04-01,1670,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-05-01,1873,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-06-01,1731,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-07-01,1800,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-08-01,1803,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-09-01,1766,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-10-01,1808,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-11-01,1750,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2022-12-01,1638,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
